appointment_id,listing_id,client_id,agent_employee_id,appointment_datetime,appointment_type,outcome
1,909,183,61,2023-10-19 12:00:00,showing,completed
2,401,939,13,2023-07-03 17:00:00,showing,completed
3,430,717,21,2022-10-23 14:30:00,showing,follow-up needed
4,574,646,14,2021-03-21 10:00:00,follow-up,completed
5,763,928,29,2021-08-14 10:00:00,consultation,completed
6,509,926,39,2023-09-30 11:00:00,showing,completed
7,361,227,41,2021-07-28 10:30:00,showing,completed
8,124,109,31,2023-01-20 13:00:00,showing,follow-up needed
9,487,15,16,2023-11-19 16:30:00,showing,cancelled
10,784,504,40,2022-11-12 17:00:00,showing,completed
11,813,721,37,2024-01-20 10:00:00,showing,completed
12,564,998,44,2022-04-20 11:30:00,consultation,follow-up needed
13,429,638,54,2024-10-11 11:00:00,showing,cancelled
14,821,243,3,2024-05-19 10:00:00,follow-up,cancelled
15,671,439,13,2024-04-04 10:30:00,showing,cancelled
16,416,293,17,2022-08-11 13:00:00,showing,follow-up needed
17,755,592,67,2022-09-27 17:00:00,showing,completed
18,193,531,59,2024-11-19 10:30:00,showing,completed
19,894,679,64,2024-02-20 15:00:00,follow-up,completed
20,51,841,18,2022-08-29 14:30:00,showing,follow-up needed
21,947,716,59,2024-09-17 14:30:00,showing,completed
22,700,504,2,2024-11-24 13:30:00,showing,completed
23,82,481,57,2023-03-03 11:00:00,showing,completed
24,171,984,23,2023-05-20 10:30:00,showing,follow-up needed
25,353,797,60,2021-05-11 15:30:00,showing,completed
26,106,177,51,2021-10-19 16:30:00,showing,follow-up needed
27,535,320,41,2024-05-24 14:30:00,showing,follow-up needed
28,181,912,24,2022-03-26 13:00:00,showing,follow-up needed
29,409,784,1,2023-11-29 10:30:00,showing,cancelled
30,108,797,65,2023-07-04 13:30:00,showing,follow-up needed
31,381,523,9,2024-08-05 17:30:00,showing,completed
32,264,524,25,2024-11-07 16:30:00,showing,follow-up needed
33,834,789,48,2022-01-07 11:30:00,consultation,completed
34,819,530,43,2021-05-20 11:00:00,showing,completed
35,940,184,8,2021-12-14 17:00:00,follow-up,follow-up needed
36,84,851,27,2021-05-22 10:30:00,showing,completed
37,603,379,18,2023-08-22 16:30:00,follow-up,follow-up needed
38,510,721,62,2024-06-22 14:30:00,showing,completed
39,76,716,20,2023-05-07 10:00:00,showing,completed
40,11,82,45,2022-10-14 10:30:00,showing,completed
41,81,368,29,2023-02-06 17:30:00,showing,completed
42,532,662,54,2022-03-05 14:00:00,showing,completed
43,342,420,25,2023-09-07 14:00:00,consultation,completed
44,941,240,62,2022-10-14 11:30:00,showing,completed
45,507,14,58,2021-09-19 10:30:00,follow-up,follow-up needed
46,21,906,18,2024-04-30 11:30:00,showing,follow-up needed
47,606,838,53,2024-09-18 10:30:00,showing,follow-up needed
48,896,659,69,2023-03-23 10:30:00,showing,completed
49,293,699,25,2022-07-31 17:30:00,showing,completed
50,845,760,37,2024-11-01 17:00:00,showing,follow-up needed
51,863,30,64,2024-02-23 11:00:00,follow-up,completed
52,791,184,11,2022-01-29 17:00:00,showing,completed
53,78,400,6,2023-01-13 16:30:00,showing,cancelled
54,908,133,1,2023-12-15 16:30:00,showing,follow-up needed
55,394,123,27,2024-07-08 12:00:00,showing,completed
56,265,445,44,2021-10-06 14:00:00,showing,completed
57,342,983,25,2023-02-16 17:30:00,showing,follow-up needed
58,493,553,15,2021-07-10 13:00:00,showing,completed
59,127,379,36,2022-01-08 16:00:00,consultation,completed
60,292,754,40,2022-02-01 14:00:00,consultation,completed
61,881,292,27,2023-08-16 17:00:00,showing,follow-up needed
62,436,749,17,2022-07-13 14:00:00,consultation,completed
63,546,766,20,2024-04-17 12:00:00,showing,follow-up needed
64,813,259,37,2023-09-09 17:00:00,showing,completed
65,717,440,44,2021-05-09 17:00:00,consultation,cancelled
66,612,671,29,2022-05-17 11:30:00,consultation,follow-up needed
67,833,422,56,2021-07-18 12:00:00,showing,follow-up needed
68,428,775,53,2024-01-20 14:00:00,showing,completed
69,382,490,58,2021-08-26 11:00:00,showing,follow-up needed
70,139,151,29,2023-01-12 17:00:00,follow-up,completed
71,686,388,36,2022-10-29 11:30:00,showing,follow-up needed
72,881,983,27,2023-08-08 14:00:00,showing,completed
73,876,230,41,2022-05-17 16:30:00,showing,follow-up needed
74,111,226,40,2022-08-05 12:00:00,follow-up,follow-up needed
75,689,472,4,2024-02-22 17:30:00,showing,follow-up needed
76,942,511,41,2024-02-09 13:30:00,showing,follow-up needed
77,609,900,41,2022-06-20 15:30:00,showing,completed
78,990,613,25,2024-10-12 12:00:00,showing,completed
79,730,661,49,2025-03-11 14:00:00,consultation,follow-up needed
80,947,117,59,2024-10-07 17:30:00,showing,follow-up needed
81,466,553,56,2021-12-21 11:00:00,showing,follow-up needed
82,182,951,58,2022-09-02 16:00:00,follow-up,follow-up needed
83,542,351,14,2021-05-02 16:00:00,showing,cancelled
84,869,118,15,2021-08-31 11:00:00,consultation,completed
85,985,761,66,2021-09-27 17:30:00,consultation,follow-up needed
86,290,718,12,2023-10-25 16:00:00,showing,follow-up needed
87,192,385,33,2024-08-27 16:30:00,consultation,cancelled
88,453,943,10,2023-01-18 10:30:00,showing,follow-up needed
89,151,625,29,2023-10-23 15:00:00,showing,completed
90,765,240,48,2023-06-02 14:00:00,follow-up,cancelled
91,862,923,32,2023-04-23 16:00:00,follow-up,completed
92,277,914,29,2024-04-20 16:00:00,showing,follow-up needed
93,582,880,65,2024-07-21 13:00:00,showing,follow-up needed
94,783,739,26,2022-01-21 14:00:00,follow-up,follow-up needed
95,448,54,28,2023-09-08 16:30:00,showing,cancelled
96,795,919,47,2021-12-25 17:30:00,follow-up,completed
97,984,200,7,2022-12-09 14:00:00,showing,completed
98,936,417,32,2021-06-25 16:30:00,showing,follow-up needed
99,337,691,35,2022-06-18 16:30:00,follow-up,follow-up needed
100,514,705,49,2021-11-29 13:30:00,showing,follow-up needed
101,916,149,13,2024-03-10 16:00:00,showing,cancelled
102,778,711,56,2024-09-13 17:30:00,showing,follow-up needed
103,658,824,71,2022-09-01 11:30:00,follow-up,follow-up needed
104,172,830,60,2023-03-17 12:30:00,follow-up,follow-up needed
105,859,326,4,2023-03-23 16:00:00,showing,follow-up needed
106,323,968,45,2021-10-25 15:00:00,showing,completed
107,816,782,24,2021-10-05 16:30:00,showing,cancelled
108,601,303,3,2023-03-08 12:00:00,showing,completed
109,550,556,65,2024-01-02 13:30:00,showing,follow-up needed
110,565,601,51,2021-12-21 16:00:00,follow-up,completed
111,527,271,26,2021-07-29 10:30:00,showing,completed
112,487,377,16,2023-10-09 14:30:00,showing,completed
113,123,817,55,2023-11-07 12:30:00,follow-up,completed
114,361,313,41,2021-09-04 11:30:00,showing,completed
115,108,722,65,2023-06-14 11:00:00,showing,completed
116,274,721,52,2024-03-11 11:00:00,showing,follow-up needed
117,33,723,26,2024-08-28 13:30:00,showing,completed
118,458,358,1,2023-01-13 12:00:00,showing,cancelled
119,158,902,3,2023-04-20 11:00:00,showing,completed
120,661,943,43,2024-05-13 17:30:00,showing,cancelled
