inquiry_id,client_id,listing_id,inquiry_date,inquiry_channel,inquiry_status
1,380,3,2023-08-05,website,closed
2,544,100,2023-07-08,referral,open
3,772,205,2024-06-03,website,open
4,294,773,2022-11-04,walk-in,closed
5,495,189,2021-08-21,website,followed up
6,757,954,2022-07-22,website,closed
7,806,437,2023-09-24,website,followed up
8,635,73,2024-12-23,email,followed up
9,811,725,2022-03-27,website,closed
10,952,194,2022-06-22,referral,closed
11,416,968,2023-03-05,phone,closed
12,917,368,2023-06-03,website,followed up
13,530,167,2023-06-18,referral,open
14,884,589,2021-06-08,email,followed up
15,268,661,2024-05-11,website,followed up
16,565,285,2022-05-13,referral,closed
17,819,972,2024-05-10,website,followed up
18,784,196,2024-03-05,website,followed up
19,997,677,2023-10-11,website,followed up
20,966,889,2023-03-03,email,followed up
21,682,370,2022-10-13,phone,open
22,672,633,2022-09-13,website,closed
23,758,756,2023-05-12,phone,followed up
24,31,211,2023-04-30,email,followed up
25,957,226,2021-05-30,website,open
26,609,779,2024-05-14,website,followed up
27,309,450,2022-10-25,phone,closed
28,958,870,2022-05-19,phone,open
29,73,425,2024-04-12,phone,followed up
30,223,651,2023-09-22,website,closed
31,430,184,2021-12-19,email,followed up
32,465,710,2025-03-10,website,followed up
33,202,705,2024-06-19,website,closed
34,462,630,2022-11-02,phone,followed up
35,317,482,2023-03-22,phone,followed up
36,670,698,2021-08-17,website,open
37,838,215,2021-12-06,website,followed up
38,718,749,2024-04-07,email,open
39,544,958,2024-01-13,phone,closed
40,570,707,2023-10-21,email,open
41,296,220,2023-04-18,website,closed
42,538,344,2022-12-12,email,followed up
43,989,822,2024-06-22,website,open
44,625,340,2021-08-28,website,followed up
45,240,765,2023-05-29,website,followed up
46,819,839,2022-10-03,website,closed
47,584,986,2024-03-12,website,followed up
48,698,370,2022-09-04,email,followed up
49,646,643,2024-06-24,email,open
50,577,835,2022-06-02,email,followed up
51,914,891,2024-04-25,email,open
52,610,428,2024-03-19,phone,open
53,96,954,2022-02-24,website,closed
54,906,506,2023-12-20,website,closed
55,231,854,2024-04-05,phone,followed up
56,899,123,2024-01-21,website,followed up
57,14,507,2021-08-31,referral,followed up
58,462,891,2024-03-26,email,followed up
59,729,856,2022-06-26,phone,closed
60,524,290,2023-06-17,website,closed
61,977,588,2023-03-13,referral,closed
62,665,55,2022-06-13,phone,followed up
63,459,625,2021-09-27,email,followed up
64,739,556,2022-09-13,email,open
65,393,816,2021-11-20,phone,closed
66,268,338,2023-12-27,website,followed up
67,703,87,2022-07-22,referral,open
68,662,753,2023-07-07,phone,followed up
69,898,67,2023-09-03,email,followed up
70,336,279,2022-05-24,referral,followed up
71,751,449,2023-09-24,phone,open
72,194,932,2023-08-19,website,open
73,717,386,2024-05-04,phone,followed up
74,635,694,2024-01-11,website,followed up
75,528,822,2024-07-15,website,closed
76,56,93,2022-07-21,walk-in,followed up
77,286,613,2022-10-09,website,open
78,266,217,2021-10-26,website,followed up
79,301,514,2021-10-05,phone,closed
80,120,655,2023-11-26,phone,followed up
81,668,474,2023-02-19,website,closed
82,420,230,2021-01-22,website,closed
83,920,203,2022-10-09,referral,closed
84,14,78,2023-02-05,website,followed up
85,31,610,2022-07-02,website,closed
86,900,595,2024-05-26,website,open
87,945,750,2024-09-04,website,closed
88,279,418,2022-01-19,phone,closed
89,732,866,2024-09-14,website,open
90,517,777,2023-12-12,website,open
91,814,906,2022-03-05,website,open
92,82,22,2023-05-07,email,closed
93,183,309,2022-02-20,website,followed up
94,910,679,2021-01-26,website,closed
95,260,223,2021-05-08,referral,open
96,183,773,2022-10-25,website,open
97,798,877,2022-07-16,walk-in,followed up
98,492,702,2024-10-17,phone,closed
99,85,313,2022-05-03,phone,followed up
100,135,353,2021-04-11,referral,open
101,625,151,2023-10-21,phone,closed
102,540,196,2024-04-18,website,closed
103,920,246,2023-12-09,email,closed
104,978,447,2021-11-08,referral,closed
105,699,457,2022-12-18,phone,closed
106,874,592,2023-07-26,walk-in,followed up
107,114,297,2021-02-11,website,open
108,348,45,2024-03-08,walk-in,closed
109,10,659,2024-01-29,phone,closed
110,346,480,2022-10-29,walk-in,followed up
111,420,926,2022-12-30,email,followed up
112,998,564,2022-04-03,phone,open
113,300,591,2021-08-31,website,open
114,181,948,2022-07-18,email,closed
115,212,675,2022-10-04,website,followed up
116,798,675,2022-09-22,referral,followed up
117,296,877,2022-05-26,referral,closed
118,634,931,2022-08-31,website,closed
119,628,703,2022-12-09,website,closed
120,947,484,2022-12-04,phone,followed up
121,459,151,2023-09-25,phone,closed
122,315,17,2024-09-16,website,open
123,690,414,2024-05-29,email,closed
124,959,945,2022-09-08,phone,followed up
125,591,924,2022-09-27,email,followed up
126,282,695,2022-07-29,referral,closed
127,176,366,2022-08-27,email,open
128,620,385,2022-11-28,website,open
129,101,24,2024-02-05,website,closed
130,649,803,2021-02-01,referral,followed up
131,889,599,2023-03-28,referral,open
132,698,717,2021-04-23,email,open
133,994,863,2024-01-06,walk-in,open
134,572,92,2023-08-09,website,followed up
135,926,509,2023-09-13,phone,followed up
136,147,912,2025-03-10,website,open
137,388,298,2021-09-10,phone,followed up
138,559,272,2022-04-26,website,closed
139,872,996,2022-06-02,website,followed up
140,548,618,2024-06-13,email,followed up
141,403,906,2022-08-16,phone,followed up
142,673,646,2022-06-25,referral,closed
143,717,42,2024-07-15,website,followed up
144,301,313,2021-12-29,email,closed
145,659,731,2021-10-17,referral,followed up
146,91,877,2022-07-03,email,followed up
147,573,734,2024-10-21,website,closed
148,575,532,2022-09-26,website,closed
149,584,640,2024-05-12,website,open
150,993,431,2021-05-04,phone,closed
151,530,928,2022-10-01,phone,closed
152,886,437,2023-09-23,email,open
153,302,369,2021-10-03,email,open
154,976,722,2021-11-09,walk-in,followed up
155,841,447,2021-08-26,walk-in,closed
156,163,286,2021-08-22,website,closed
157,574,563,2024-03-18,website,followed up
158,840,900,2025-02-19,email,closed
159,615,769,2024-01-21,referral,open
160,22,773,2022-11-21,website,closed
161,313,468,2024-01-15,website,closed
162,889,856,2022-05-07,website,closed
163,384,365,2021-11-08,website,closed
164,38,308,2022-12-10,referral,open
165,762,662,2023-01-31,email,followed up
166,613,323,2021-10-22,walk-in,closed
167,327,327,2021-10-26,phone,open
168,950,210,2023-08-15,phone,open
169,279,846,2025-03-10,email,closed
170,762,693,2023-08-05,referral,followed up
171,327,600,2021-05-18,referral,closed
172,624,32,2022-07-31,email,closed
173,769,797,2024-02-12,phone,closed
174,613,990,2024-10-11,website,closed
175,721,281,2022-11-11,email,closed
176,118,155,2022-05-02,website,closed
177,965,130,2021-04-17,website,closed
178,165,325,2024-04-26,phone,closed
179,749,228,2021-07-14,website,closed
180,592,755,2022-09-13,referral,closed
181,327,778,2024-08-15,website,open
182,975,382,2021-10-21,website,closed
183,959,660,2024-01-07,website,closed
184,643,248,2021-12-03,website,closed
185,21,428,2023-12-20,phone,open
186,679,400,2022-01-09,email,closed
187,366,412,2024-04-25,website,closed
188,889,943,2021-07-08,website,followed up
189,675,797,2024-03-29,phone,open
190,204,626,2024-08-15,website,followed up
191,154,528,2021-07-01,walk-in,followed up
192,366,277,2024-03-08,website,closed
193,749,172,2023-02-16,website,open
194,528,775,2024-03-14,phone,followed up
195,439,359,2024-03-23,walk-in,followed up
196,36,718,2021-10-01,referral,closed
197,583,326,2022-05-01,referral,open
198,293,375,2022-12-28,referral,followed up
199,472,271,2021-11-20,website,closed
200,698,436,2022-09-05,email,closed
201,621,673,2021-12-09,website,closed
202,639,264,2024-11-28,website,open
203,978,563,2024-07-02,website,open
204,487,298,2021-12-16,website,closed
205,334,819,2021-02-18,email,followed up
206,594,245,2023-11-20,referral,open
207,1000,881,2023-08-29,website,closed
208,491,342,2023-06-05,phone,closed
209,845,588,2023-05-03,website,followed up
210,1000,730,2024-11-30,website,open
211,318,457,2023-03-11,website,closed
212,191,215,2021-12-29,website,open
213,254,549,2022-02-11,website,open
214,615,52,2022-07-31,referral,open
215,976,709,2024-02-16,website,open
216,754,509,2023-10-30,phone,closed
217,570,945,2022-09-24,email,closed
218,698,454,2024-11-23,website,closed
219,379,603,2023-08-09,phone,followed up
220,284,48,2023-05-14,referral,followed up
221,993,440,2022-08-02,website,closed
222,817,29,2021-06-30,walk-in,open
223,317,888,2023-01-14,email,open
224,11,566,2024-11-05,website,open
225,693,860,2022-04-17,website,followed up
226,681,171,2023-07-25,website,closed
227,931,361,2021-08-04,referral,closed
228,481,146,2024-07-17,website,closed
229,968,392,2021-12-04,website,followed up
230,959,597,2023-11-15,email,open
231,358,112,2021-12-17,referral,closed
232,999,590,2024-03-22,email,followed up
233,227,759,2021-12-19,website,followed up
234,783,729,2024-07-24,website,closed
235,799,348,2023-10-12,referral,closed
236,734,242,2022-01-23,email,followed up
237,313,918,2022-08-19,phone,closed
238,553,466,2021-12-05,website,open
239,24,424,2022-08-06,email,closed
240,472,689,2024-02-18,website,followed up
241,221,46,2022-02-17,walk-in,closed
242,76,405,2023-07-22,website,open
243,777,652,2022-08-31,phone,closed
244,738,254,2021-08-13,email,closed
245,278,321,2022-07-18,phone,open
246,705,452,2024-08-22,referral,followed up
247,830,842,2022-12-03,phone,open
248,880,582,2024-07-05,phone,followed up
249,445,121,2021-01-18,website,open
250,486,100,2023-10-07,website,followed up
251,445,925,2022-03-22,website,closed
252,925,529,2022-08-10,email,followed up
253,511,942,2024-01-23,phone,closed
254,264,363,2023-01-10,website,closed
255,322,8,2021-05-31,phone,open
256,204,626,2024-06-06,referral,followed up
257,570,820,2021-09-28,phone,followed up
258,965,931,2022-08-16,referral,closed
259,243,294,2021-08-16,phone,followed up
260,754,441,2022-07-16,phone,closed
261,42,897,2024-01-16,website,open
262,692,863,2024-02-11,website,closed
263,438,27,2022-05-24,website,closed
264,320,102,2023-06-29,website,followed up
265,814,906,2022-09-04,walk-in,followed up
266,824,82,2023-02-25,email,followed up
267,703,671,2024-04-22,website,open
268,554,686,2022-10-18,website,closed
269,923,60,2021-02-09,website,closed
270,953,431,2021-05-31,email,open
271,116,610,2022-07-01,email,followed up
272,996,831,2024-01-27,phone,followed up
273,186,557,2022-08-18,phone,open
274,82,401,2023-07-02,website,followed up
275,227,762,2022-05-24,phone,closed
276,95,292,2022-01-21,website,closed
277,279,546,2024-06-08,phone,open
278,762,397,2023-08-22,website,closed
279,183,307,2021-09-29,referral,closed
280,495,340,2021-09-02,phone,closed
281,176,885,2022-12-04,website,followed up
282,556,333,2022-11-24,website,followed up
283,606,857,2022-11-10,website,closed
284,863,626,2024-06-07,website,open
285,615,710,2025-01-13,walk-in,closed
286,767,19,2023-03-26,website,open
287,177,571,2022-06-04,email,open
288,142,840,2024-02-21,phone,closed
289,604,971,2023-10-20,website,closed
290,139,128,2022-07-30,website,closed
291,345,907,2023-08-18,phone,followed up
292,176,709,2024-02-28,walk-in,open
293,911,812,2024-04-19,phone,followed up
294,85,422,2024-11-19,phone,closed
295,380,548,2022-03-03,referral,open
296,64,724,2021-10-03,walk-in,closed
297,293,607,2024-07-16,phone,closed
298,458,824,2024-04-28,website,closed
299,129,412,2024-05-20,website,closed
300,574,430,2022-12-26,walk-in,followed up
301,612,4,2024-01-20,phone,open
302,743,754,2024-02-07,website,followed up
303,57,88,2024-08-03,website,closed
304,999,153,2021-05-25,email,closed
305,638,679,2021-01-19,walk-in,open
306,676,250,2021-12-07,referral,closed
307,187,638,2021-02-15,email,followed up
308,288,46,2021-12-13,email,closed
309,322,473,2024-02-01,referral,followed up
310,691,292,2022-01-20,walk-in,closed
311,11,515,2022-10-12,website,open
312,186,655,2024-01-20,website,closed
313,649,949,2022-05-07,walk-in,followed up
314,318,790,2021-06-29,website,open
315,307,35,2023-07-21,website,closed
316,954,239,2022-06-30,website,closed
317,850,27,2022-08-21,email,followed up
318,531,39,2022-03-12,referral,open
319,723,551,2021-09-01,website,open
320,362,51,2022-06-21,website,open
321,301,761,2022-02-27,phone,followed up
322,491,416,2022-07-13,referral,closed
323,292,715,2023-05-29,referral,followed up
324,462,380,2022-03-26,phone,closed
325,134,481,2023-12-11,website,closed
326,610,824,2024-06-05,website,closed
327,40,268,2024-04-19,website,followed up
328,697,401,2023-11-28,website,closed
329,819,357,2023-03-09,phone,open
330,300,176,2021-08-29,referral,closed
331,195,950,2022-11-29,referral,followed up
332,511,296,2021-05-07,walk-in,closed
333,116,628,2025-01-02,email,closed
334,389,354,2024-08-25,phone,closed
335,578,688,2021-11-02,website,followed up
336,332,146,2024-12-09,website,closed
337,600,38,2022-12-03,website,followed up
338,848,617,2021-10-21,phone,open
339,796,166,2024-08-31,website,followed up
340,417,270,2024-03-22,referral,followed up
341,403,60,2021-03-26,email,followed up
342,598,653,2021-11-10,website,followed up
343,593,774,2023-04-09,referral,followed up
344,337,333,2022-11-27,phone,closed
345,875,903,2022-02-21,website,open
346,282,495,2024-02-27,website,followed up
347,709,150,2024-06-10,email,closed
348,654,997,2022-06-12,website,followed up
349,553,858,2021-09-14,website,closed
350,369,407,2024-12-08,website,followed up
351,709,77,2024-12-07,email,followed up
352,874,310,2023-10-20,website,closed
353,565,493,2021-11-02,phone,followed up
354,460,408,2022-04-13,website,closed
355,221,129,2022-01-20,website,closed
356,70,210,2023-10-12,website,followed up
357,54,448,2023-08-10,email,closed
358,32,643,2024-07-24,email,followed up
359,16,320,2022-07-03,website,followed up
360,814,985,2021-08-09,walk-in,open
361,878,6,2023-01-19,website,followed up
362,326,115,2023-11-20,phone,closed
363,72,737,2023-09-01,website,followed up
364,420,508,2023-03-12,walk-in,closed
365,364,910,2021-07-18,phone,closed
366,915,113,2023-06-22,phone,followed up
367,141,429,2024-09-14,email,followed up
368,684,53,2022-01-03,website,open
369,386,9,2022-11-10,website,followed up
370,178,222,2022-03-12,referral,followed up
371,256,129,2022-02-22,phone,closed
372,779,677,2023-12-12,website,followed up
373,303,715,2023-05-03,email,closed
374,700,873,2022-07-25,walk-in,followed up
375,806,428,2024-04-22,email,closed
376,64,6,2023-04-09,referral,open
377,876,469,2021-05-13,walk-in,followed up
378,30,477,2023-11-07,website,followed up
379,120,178,2022-01-24,website,followed up
380,330,993,2024-07-18,referral,open
381,752,726,2024-08-02,website,open
382,830,107,2021-07-18,referral,closed
383,397,194,2022-06-06,website,followed up
384,868,515,2022-11-14,phone,followed up
385,133,756,2023-05-01,website,closed
386,846,656,2024-04-17,website,closed
387,403,820,2021-07-28,website,followed up
388,665,936,2021-07-30,website,open
389,78,453,2022-08-02,walk-in,closed
390,706,920,2021-12-08,phone,open
391,948,589,2021-08-01,email,open
392,541,174,2021-09-14,website,followed up
393,24,888,2022-12-30,email,closed
394,942,64,2024-07-14,referral,closed
395,987,312,2023-01-30,referral,followed up
396,512,890,2023-06-26,referral,closed
397,836,563,2024-02-01,website,followed up
398,868,355,2024-09-18,email,closed
399,61,911,2024-08-05,website,closed
400,286,939,2021-09-05,email,open
401,845,83,2021-09-04,website,closed
402,1,628,2024-12-09,referral,followed up
403,96,329,2021-10-23,email,closed
404,723,937,2022-06-02,walk-in,followed up
405,978,634,2022-06-25,walk-in,followed up
406,50,217,2021-12-19,website,open
407,575,718,2021-08-16,website,followed up
408,726,295,2023-07-30,phone,followed up
409,876,674,2023-04-26,website,open
410,799,500,2022-05-14,website,followed up
411,395,69,2021-10-31,referral,closed
412,881,123,2024-01-16,website,closed
413,724,680,2023-07-25,website,closed
414,605,756,2023-05-02,email,followed up
415,775,428,2023-12-30,website,closed
416,509,604,2021-09-21,website,closed
417,657,916,2024-01-05,referral,closed
418,459,998,2023-03-19,website,closed
419,572,825,2022-07-08,website,open
420,294,979,2022-10-11,website,closed
421,757,5,2022-05-25,website,followed up
422,962,239,2022-10-11,email,followed up
423,400,78,2022-12-30,website,followed up
424,124,186,2021-01-20,email,followed up
425,349,94,2023-03-18,phone,open
426,293,131,2023-12-14,website,closed
427,745,924,2022-11-12,walk-in,followed up
428,698,271,2022-01-15,phone,closed
429,947,993,2024-08-09,website,open
430,274,694,2024-01-18,walk-in,closed
431,50,677,2023-07-14,referral,followed up
432,926,914,2021-12-27,referral,closed
433,288,308,2022-12-23,website,followed up
434,455,452,2024-10-02,walk-in,open
435,681,257,2024-03-24,email,open
436,932,319,2024-03-11,website,closed
437,796,160,2023-03-29,walk-in,followed up
438,884,918,2023-01-05,phone,followed up
439,375,144,2024-06-05,website,followed up
440,181,109,2023-06-08,website,followed up
441,721,274,2024-03-01,website,closed
442,187,947,2024-11-29,website,open
443,952,960,2022-03-22,website,closed
444,632,5,2022-04-30,walk-in,followed up
445,814,939,2021-07-08,website,closed
446,368,81,2023-01-18,website,closed
447,707,528,2021-07-06,referral,followed up
448,254,872,2022-10-25,phone,closed
449,624,960,2022-04-20,website,closed
450,223,850,2024-01-05,website,closed
451,717,74,2021-05-03,walk-in,open
452,932,72,2023-09-27,website,followed up
453,634,857,2023-01-15,referral,followed up
454,849,62,2022-03-20,email,followed up
455,458,447,2021-11-04,website,followed up
456,615,338,2024-01-21,email,followed up
457,739,879,2025-01-16,phone,followed up
458,193,853,2023-10-24,phone,open
459,796,622,2021-12-04,website,closed
460,579,452,2024-06-25,email,open
461,900,395,2024-07-01,referral,closed
462,264,162,2021-09-26,website,followed up
463,931,649,2023-02-08,email,closed
464,721,510,2024-06-18,walk-in,followed up
465,186,126,2021-09-26,phone,closed
466,183,794,2021-09-26,phone,closed
467,153,931,2022-09-06,website,followed up
468,496,977,2024-05-22,walk-in,followed up
469,712,462,2022-08-24,website,open
470,269,957,2022-09-05,website,closed
471,699,190,2022-02-02,phone,open
472,271,765,2023-05-26,phone,closed
473,35,53,2022-01-05,website,open
474,397,287,2023-03-09,email,followed up
475,458,613,2022-10-29,phone,followed up
476,148,244,2024-05-24,website,closed
477,304,616,2024-10-20,website,open
478,143,875,2021-03-07,email,closed
479,657,405,2023-09-01,website,closed
480,652,798,2023-06-30,website,closed
481,540,759,2021-12-31,website,followed up
482,605,187,2022-11-27,website,closed
483,320,266,2023-10-07,walk-in,closed
484,604,77,2025-01-12,phone,closed
485,968,791,2022-01-28,email,followed up
486,943,453,2022-12-28,phone,closed
487,86,325,2024-07-26,referral,followed up
488,670,989,2024-02-26,email,followed up
489,710,614,2022-08-05,website,followed up
490,610,115,2023-11-03,website,followed up
491,307,763,2021-09-15,phone,open
492,609,854,2024-08-18,phone,closed
493,149,669,2022-02-16,website,followed up
494,947,647,2021-08-30,website,open
495,670,131,2024-01-23,website,followed up
496,67,487,2023-10-22,website,closed
497,57,596,2021-09-26,website,open
498,853,78,2022-11-16,website,open
499,592,375,2023-01-08,email,followed up
500,919,231,2021-08-07,website,closed
501,124,863,2024-01-16,email,followed up
502,958,360,2021-02-12,website,closed
503,661,41,2021-04-24,referral,closed
504,439,680,2023-08-18,website,closed
505,901,484,2023-01-20,website,followed up
506,50,891,2024-04-03,phone,followed up
507,304,74,2021-06-18,email,closed
508,990,614,2022-12-20,phone,followed up
509,904,593,2021-06-26,website,closed
510,708,589,2021-07-25,website,followed up
511,151,807,2023-04-30,website,followed up
512,851,679,2021-02-01,website,closed
513,812,132,2024-04-10,email,open
514,820,14,2022-03-13,referral,followed up
515,747,351,2021-11-09,website,closed
516,71,509,2023-10-01,referral,closed
517,321,634,2022-07-25,phone,followed up
518,307,681,2021-12-09,website,followed up
519,716,76,2023-04-16,website,open
520,926,485,2022-02-09,email,followed up
521,64,333,2022-11-30,website,followed up
522,210,270,2024-04-24,phone,closed
523,878,112,2021-12-26,website,followed up
524,312,968,2023-05-30,email,closed
525,489,332,2024-01-06,referral,open
526,78,55,2022-06-02,walk-in,closed
527,581,92,2023-07-19,website,open
528,177,106,2021-10-04,website,closed
529,238,667,2023-06-07,email,closed
530,122,535,2024-02-03,email,followed up
531,639,313,2022-03-05,phone,followed up
532,313,826,2023-04-26,referral,followed up
533,573,765,2023-08-26,website,closed
534,375,369,2021-10-12,website,followed up
535,680,611,2021-09-10,website,closed
536,322,78,2022-11-28,referral,closed
537,348,327,2022-01-16,website,closed
538,896,601,2023-09-20,email,followed up
539,773,487,2023-09-13,referral,open
540,819,416,2022-11-11,website,closed
541,193,765,2023-06-04,website,open
542,254,13,2023-11-24,website,followed up
