client_id,preferred_location,property_type,min_budget,max_budget,min_bedrooms,max_bedrooms,min_bathrooms,min_square_feet
1,Flushing,co-op,6676,7542,4,6,4,1755
7,Park Slope,single-family home,594324,802620,1,3,1,590
10,Flushing,single-family home,4547,6433,4,6,4,2372
11,DUMBO,apartment,6875,8557,2,4,2,1446
12,DUMBO,co-op,718802,848767,1,3,1,1013
13,Financial District,townhouse,606847,927419,0,2,1,590
14,Downtown Bridgeport,apartment,700161,839701,2,4,2,1544
15,Downtown Jersey City,condo,6869,7761,3,5,3,2055
16,Tribeca,co-op,986700,1329652,2,4,2,1166
17,Tribeca,apartment,1451743,2006788,4,6,4,2201
19,Hoboken Waterfront,apartment,4104,5463,1,3,1,1275
21,DUMBO,apartment,992693,1359929,3,5,3,1781
22,Financial District,apartment,1657948,2086215,4,6,4,1819
24,St. George,apartment,407624,500066,1,3,1,1199
26,Downtown Bridgeport,condo,3908,4524,2,4,2,1382
30,Greenwich Village,co-op,1432698,2017662,3,5,3,1852
31,West Hartford Center,apartment,4498,5795,2,4,2,1547
32,Upper West Side,co-op,1369004,1909676,3,5,3,1754
33,Forest Hills,co-op,424984,516029,0,2,1,620
35,Williamsburg,condo,6934,7972,2,4,2,1220
36,Upper East Side,apartment,7213,8729,2,4,2,1507
37,Upper West Side,townhouse,3308,4671,0,2,1,833
38,Jersey City Waterfront,apartment,6311,8247,3,5,3,1762
40,Downtown Bridgeport,single-family home,2252,3172,1,3,1,1072
42,West Hartford Center,townhouse,1074162,1272391,3,5,3,1678
44,Montclair Center,co-op,4331,6033,2,4,2,1496
48,Forest Hills,townhouse,634366,870349,2,4,2,1693
50,Tribeca,single-family home,4452,5600,0,2,1,574
51,West Hartford Center,condo,2843,3646,1,3,1,1072
54,Chelsea,condo,7849,9975,3,5,3,1470
56,Downtown Bridgeport,co-op,557804,823967,4,6,4,1937
57,Jersey City Waterfront,apartment,580196,795810,1,3,1,1195
58,Hoboken Waterfront,single-family home,4292,5214,1,3,1,1116
59,West Hartford Center,co-op,626626,897151,2,4,2,1529
61,Park Slope,co-op,959265,1342227,2,4,2,1482
63,Hoboken Waterfront,apartment,893227,1138813,3,5,3,1655
64,Forest Hills,duplex,3161,4283,1,3,1,1099
