listing_id,property_id,agent_employee_id,listing_type,listing_price,listing_status,list_date,end_date
1,3,67,sale,736058,pending,2021-06-22,
2,4,66,sale,588373,active,2024-04-10,
3,5,56,sale,1117519,active,2023-05-23,
4,6,4,sale,1991987,cancelled,2023-10-16,2024-02-08
5,7,46,rent,6956,closed,2022-04-24,2022-05-31
6,8,66,sale,1216895,pending,2022-08-27,
7,9,30,rent,12085,pending,2021-06-10,
8,10,26,sale,1434765,closed,2021-05-27,2021-10-31
9,11,25,sale,1535169,closed,2022-11-06,2023-02-02
10,14,34,rent,9578,cancelled,2021-10-10,2022-03-16
11,15,45,sale,546792,active,2022-09-06,
12,16,2,sale,998133,cancelled,2023-04-08,2023-09-21
13,17,51,rent,6054,closed,2023-11-16,2024-01-11
14,21,71,rent,4838,cancelled,2022-03-06,2022-08-03
15,22,11,sale,1405932,pending,2023-08-03,
16,23,27,rent,10212,closed,2022-01-20,2022-05-24
17,24,18,sale,748119,pending,2024-02-18,
18,25,64,rent,8274,closed,2021-09-20,2021-10-10
19,26,55,sale,927130,closed,2022-12-28,2023-05-02
20,27,69,sale,976093,active,2023-04-07,
21,29,18,rent,5906,closed,2024-04-17,2024-05-13
22,30,51,sale,1348250,pending,2022-11-08,
23,34,69,sale,2809034,closed,2022-02-23,2022-03-29
24,35,58,rent,6403,active,2023-08-31,
25,36,14,rent,3979,pending,2022-09-16,
26,37,63,rent,4352,cancelled,2021-12-30,2022-06-20
27,38,50,sale,844287,pending,2022-02-12,
28,40,68,rent,13083,pending,2022-04-23,
29,41,2,sale,2479137,pending,2021-04-28,
30,42,17,sale,953291,closed,2023-04-22,2023-06-07
31,43,27,rent,18184,closed,2023-09-07,2024-01-02
32,44,61,sale,553444,active,2022-02-26,
33,45,26,sale,1312271,active,2024-03-23,
34,46,1,sale,792992,pending,2023-07-29,
35,47,32,sale,1123192,closed,2023-07-02,2023-10-30
36,48,59,rent,6185,pending,2024-03-11,
37,49,59,sale,2427004,closed,2021-03-22,2021-06-21
38,50,23,sale,983821,pending,2022-09-02,
39,51,56,rent,4054,pending,2022-01-03,
40,52,51,sale,933522,cancelled,2022-01-11,2022-02-22
41,54,36,sale,1517150,closed,2021-03-31,2021-05-28
42,55,9,rent,10427,pending,2024-01-07,
43,56,53,sale,988349,active,2022-03-21,
44,57,10,rent,9057,closed,2024-02-07,2024-05-29
45,58,42,rent,13360,pending,2023-10-31,
46,59,6,sale,1383975,closed,2021-12-04,2022-04-30
47,60,60,rent,6241,pending,2021-05-30,
48,61,5,rent,7540,closed,2023-03-29,2023-07-26
49,62,42,rent,12068,closed,2021-08-23,2021-10-14
50,63,11,sale,2505877,closed,2023-08-09,2023-09-13
51,64,18,sale,2055152,closed,2022-05-12,2022-09-19
52,65,3,sale,2620133,closed,2022-07-26,2022-09-25
53,66,51,rent,6707,closed,2021-12-29,2022-06-01
54,67,57,sale,1173906,cancelled,2021-01-23,2021-03-21
55,68,69,sale,2119840,pending,2022-03-20,
56,69,14,sale,1174628,closed,2021-04-08,2021-09-06
57,70,1,sale,1320078,closed,2022-09-24,2023-03-14
58,73,48,sale,1310636,closed,2023-02-12,2023-05-04
59,74,54,rent,8519,active,2022-02-14,
60,75,25,sale,941853,active,2021-01-30,
61,76,13,sale,1650160,pending,2021-05-10,
62,77,6,sale,1625778,pending,2021-12-10,
63,79,72,rent,7638,closed,2021-08-09,2021-11-17
64,80,51,sale,2642887,closed,2024-07-03,2024-12-06
65,81,46,rent,7732,closed,2021-09-05,2021-10-20
66,83,2,sale,643864,closed,2021-01-31,2021-05-09
67,84,48,sale,371829,closed,2023-07-29,2023-10-26
68,85,64,rent,6851,cancelled,2022-03-24,2022-09-11
69,86,22,rent,4393,closed,2021-07-28,2022-01-07
70,87,50,rent,10121,closed,2021-07-14,2022-01-09
71,88,41,rent,8226,closed,2021-09-30,2022-03-29
72,89,58,sale,656897,closed,2023-09-15,2023-10-07
73,92,65,sale,606516,active,2024-08-04,
74,93,16,sale,2391566,closed,2021-01-28,2021-07-22
75,94,11,rent,11178,active,2023-05-28,
76,95,20,sale,2375092,closed,2023-02-07,2023-04-17
77,96,57,rent,7308,pending,2024-08-07,
78,97,6,rent,4891,closed,2022-11-05,2023-02-12
79,98,4,rent,17528,closed,2023-04-30,2023-07-30
80,100,70,sale,1652934,cancelled,2022-11-10,2023-01-19
81,101,29,rent,8760,pending,2022-05-24,
82,103,57,rent,6857,closed,2023-02-21,2023-04-26
83,105,9,rent,9208,pending,2021-05-13,
84,107,27,rent,7385,closed,2021-04-17,2021-06-10
85,108,31,sale,2248507,closed,2021-12-22,2022-03-02
86,109,22,sale,963986,closed,2023-05-23,2023-08-28
87,110,32,sale,2582628,active,2022-05-17,
88,111,26,sale,811418,closed,2024-03-26,2024-09-22
89,112,51,rent,9305,cancelled,2023-09-13,2024-01-01
90,113,65,sale,1136940,pending,2023-08-23,
91,114,3,rent,9892,closed,2023-06-07,2023-10-26
92,115,69,sale,1457225,closed,2023-05-26,2023-08-28
93,116,60,sale,885757,active,2021-12-26,
94,117,62,sale,1478890,active,2022-08-04,
