listing_id,client_id,role_type
1,383,owner
2,247,owner
3,918,owner
4,516,owner
5,674,landlord
6,253,owner
6,543,owner
7,376,landlord
8,527,owner
9,38,owner
9,42,owner
10,163,landlord
11,717,owner
12,240,owner
13,97,landlord
14,272,landlord
15,969,owner
16,253,landlord
17,689,owner
18,132,landlord
19,765,owner
20,917,owner
21,869,landlord
22,592,owner
23,801,owner
24,75,landlord
25,130,landlord
26,827,landlord
27,516,owner
28,515,landlord
29,182,owner
29,457,owner
30,768,owner
31,546,landlord
32,93,owner
32,499,owner
33,378,owner
33,652,owner
34,874,owner
35,691,owner
36,236,landlord
37,104,owner
38,306,owner
38,666,owner
39,890,landlord
40,969,owner
41,155,owner
41,656,owner
42,28,landlord
43,474,owner
44,844,landlord
45,166,landlord
45,878,landlord
46,488,owner
46,588,owner
47,239,landlord
48,319,landlord
49,42,landlord
49,521,landlord
50,224,owner
50,340,owner
51,327,owner
51,436,owner
52,494,owner
53,249,landlord
54,409,owner
55,501,owner
56,669,owner
57,471,owner
58,81,owner
59,380,landlord
60,613,owner
61,852,owner
62,213,owner
62,749,owner
63,527,landlord
64,656,owner
65,300,landlord
65,542,landlord
66,515,owner
66,526,owner
67,77,owner
68,526,landlord
69,40,landlord
69,985,landlord
70,368,landlord
71,62,landlord
72,389,owner
73,895,owner
74,730,owner
74,752,owner
75,438,landlord
75,790,landlord
76,692,owner
77,150,landlord
78,447,landlord
78,936,landlord
79,354,landlord
80,864,owner
81,588,landlord
82,145,landlord
83,603,landlord
84,185,landlord
85,416,owner
85,789,owner
86,871,owner
87,940,owner
88,664,owner
89,436,landlord
90,951,owner
91,284,landlord
92,99,owner
93,168,owner
93,299,owner
94,244,owner
95,97,owner
95,230,owner
96,320,owner
97,821,owner
98,15,owner
98,81,owner
99,852,landlord
100,263,landlord
100,323,landlord
101,737,owner
102,581,owner
103,669,owner
104,768,owner
105,629,landlord
106,155,landlord
106,444,landlord
107,424,owner
108,68,owner
108,435,owner
109,41,landlord
110,182,owner
111,941,owner
112,40,landlord
112,214,landlord
113,200,landlord
113,752,landlord
114,401,landlord
114,501,landlord
115,438,landlord
116,67,owner
116,421,owner
117,333,landlord
117,552,landlord
118,336,landlord
119,172,owner
120,405,owner
120,714,owner
121,57,owner
122,871,landlord
123,790,owner
124,749,landlord
124,903,landlord
125,29,owner
126,422,landlord
126,552,landlord
127,276,owner
128,596,owner
129,290,owner
130,571,owner
131,982,owner
132,641,owner
133,827,owner
134,214,landlord
135,413,owner
136,642,owner
137,960,owner
138,390,owner
139,187,landlord
140,55,owner
141,642,owner
142,92,owner
142,617,owner
143,672,landlord
144,695,owner
145,27,owner
146,294,owner
147,737,owner
148,327,owner
149,799,owner
150,58,owner
150,166,owner
151,387,landlord
152,365,owner
153,593,landlord
154,45,owner
155,200,owner
156,353,owner
157,585,landlord
158,44,landlord
159,104,owner
159,494,owner
160,514,owner
160,585,owner
161,792,owner
162,924,landlord
163,213,landlord
164,38,landlord
164,145,landlord
165,158,owner
166,709,owner
167,864,owner
168,471,owner
169,802,owner
170,759,landlord
171,175,owner
171,558,owner
172,733,owner
172,979,owner
173,29,landlord
173,925,landlord
174,505,landlord
175,224,owner
176,543,owner
176,565,owner
177,652,owner
178,359,landlord
179,409,owner
180,274,landlord
181,338,landlord
182,925,owner
183,893,owner
184,833,owner
185,870,owner
186,298,owner
186,317,owner
187,717,landlord
188,840,owner
189,5,owner
190,551,landlord
191,368,owner
192,251,landlord
192,666,landlord
193,976,landlord
194,576,landlord
195,38,landlord
196,381,landlord
197,573,landlord
197,993,landlord
198,940,owner
199,752,owner
200,382,owner
200,918,owner
201,419,landlord
201,460,landlord
202,276,landlord
203,629,owner
203,876,owner
204,666,owner
205,258,owner
206,167,owner
207,336,landlord
207,421,landlord
208,516,owner
208,642,owner
209,274,landlord
210,817,owner
211,636,landlord
