open_house_id,listing_id,agent_employee_id,start_datetime,end_datetime
1,801,24,2023-08-19 11:00:00,2023-08-19 13:00:00
2,935,69,2024-03-02 13:00:00,2024-03-02 16:00:00
3,436,17,2022-04-23 14:00:00,2022-04-23 16:00:00
4,53,51,2022-01-15 12:00:00,2022-01-15 15:00:00
5,276,66,2021-02-13 12:00:00,2021-02-13 15:00:00
6,203,63,2022-10-01 13:00:00,2022-10-01 15:00:00
7,75,11,2023-06-03 14:00:00,2023-06-03 17:00:00
8,570,42,2021-08-14 13:00:00,2021-08-14 16:00:00
9,840,4,2024-01-21 11:00:00,2024-01-21 14:00:00
10,913,57,2021-04-03 12:00:00,2021-04-03 14:00:00
11,999,13,2022-03-26 11:00:00,2022-03-26 13:00:00
12,893,41,2023-02-11 11:00:00,2023-02-11 13:00:00
13,356,58,2024-06-15 12:00:00,2024-06-15 14:00:00
14,454,41,2024-08-24 11:00:00,2024-08-24 13:00:00
15,216,55,2023-11-11 12:00:00,2023-11-11 14:00:00
16,446,46,2024-09-14 12:00:00,2024-09-14 14:00:00
17,424,3,2022-08-06 13:00:00,2022-08-06 15:00:00
18,147,1,2021-10-16 13:00:00,2021-10-16 15:00:00
19,450,28,2022-11-19 14:00:00,2022-11-19 17:00:00
20,611,33,2021-10-02 14:00:00,2021-10-02 17:00:00
21,727,14,2021-02-27 11:00:00,2021-02-27 13:00:00
22,980,41,2023-05-27 11:00:00,2023-05-27 14:00:00
23,185,70,2021-09-25 11:00:00,2021-09-25 14:00:00
24,469,39,2021-04-11 13:00:00,2021-04-11 15:00:00
25,37,59,2021-04-24 11:00:00,2021-04-24 13:00:00
26,608,8,2022-06-25 14:00:00,2022-06-25 16:00:00
27,693,16,2023-08-12 14:00:00,2023-08-12 17:00:00
28,164,19,2023-10-14 14:00:00,2023-10-14 16:00:00
29,490,49,2021-08-21 13:00:00,2021-08-21 16:00:00
30,154,62,2021-10-09 14:00:00,2021-10-09 17:00:00
31,990,25,2024-09-14 14:00:00,2024-09-14 17:00:00
32,201,49,2022-05-07 11:00:00,2022-05-07 14:00:00
33,853,47,2023-09-23 12:00:00,2023-09-23 14:00:00
34,614,35,2022-05-28 12:00:00,2022-05-28 14:00:00
35,245,32,2023-10-15 12:00:00,2023-10-15 15:00:00
36,976,20,2021-07-03 12:00:00,2021-07-03 14:00:00
37,228,63,2021-03-20 12:00:00,2021-03-20 14:00:00
38,279,19,2022-05-07 13:00:00,2022-05-07 15:00:00
39,878,59,2022-10-22 13:00:00,2022-10-22 15:00:00
40,329,21,2021-06-26 13:00:00,2021-06-26 15:00:00
41,141,43,2024-08-18 11:00:00,2024-08-18 14:00:00
42,336,65,2022-07-09 14:00:00,2022-07-09 16:00:00
43,69,22,2021-08-07 14:00:00,2021-08-07 17:00:00
44,314,62,2023-03-18 14:00:00,2023-03-18 17:00:00
45,31,27,2023-09-30 11:00:00,2023-09-30 13:00:00
46,385,45,2022-09-24 12:00:00,2022-09-24 14:00:00
47,595,5,2024-03-30 11:00:00,2024-03-30 13:00:00
48,734,40,2024-07-20 14:00:00,2024-07-20 17:00:00
49,261,48,2024-05-11 11:00:00,2024-05-11 13:00:00
50,117,14,2023-05-13 11:00:00,2023-05-13 13:00:00
51,954,56,2021-12-04 13:00:00,2021-12-04 15:00:00
52,153,40,2021-04-10 12:00:00,2021-04-10 15:00:00
53,207,34,2023-04-15 14:00:00,2023-04-15 16:00:00
54,797,35,2023-11-25 11:00:00,2023-11-25 13:00:00
55,864,32,2024-06-08 11:00:00,2024-06-08 14:00:00
56,517,54,2023-01-14 12:00:00,2023-01-14 15:00:00
57,497,37,2022-03-05 12:00:00,2022-03-05 14:00:00
58,333,37,2022-12-10 12:00:00,2022-12-10 15:00:00
59,106,51,2021-08-07 12:00:00,2021-08-07 14:00:00
60,448,28,2023-01-07 14:00:00,2023-01-07 17:00:00
61,889,49,2023-03-04 14:00:00,2023-03-04 16:00:00
62,363,59,2023-01-28 14:00:00,2023-01-28 17:00:00
63,6,66,2022-09-10 12:00:00,2022-09-10 14:00:00
64,348,12,2023-10-21 12:00:00,2023-10-21 15:00:00
65,536,55,2023-01-28 12:00:00,2023-01-28 14:00:00
66,750,14,2024-09-29 14:00:00,2024-09-29 17:00:00
67,322,47,2022-03-19 11:00:00,2022-03-19 14:00:00
68,523,6,2022-09-24 11:00:00,2022-09-24 14:00:00
69,958,27,2023-12-31 14:00:00,2023-12-31 17:00:00
70,467,48,2021-07-10 12:00:00,2021-07-10 15:00:00
71,411,41,2023-12-23 13:00:00,2023-12-23 15:00:00
72,429,54,2024-07-13 11:00:00,2024-07-13 13:00:00
73,302,35,2021-11-20 12:00:00,2021-11-20 14:00:00
74,169,56,2021-09-11 12:00:00,2021-09-11 14:00:00
75,862,32,2023-04-15 12:00:00,2023-04-15 15:00:00
76,64,51,2024-07-13 14:00:00,2024-07-13 16:00:00
77,928,22,2022-06-25 14:00:00,2022-06-25 17:00:00
78,581,25,2024-09-07 11:00:00,2024-09-07 14:00:00
79,819,43,2021-02-06 14:00:00,2021-02-06 17:00:00
80,795,47,2021-12-19 11:00:00,2021-12-19 14:00:00
81,310,39,2023-06-17 13:00:00,2023-06-17 15:00:00
82,546,20,2023-10-15 11:00:00,2023-10-15 14:00:00
83,287,71,2023-03-04 11:00:00,2023-03-04 13:00:00
84,65,46,2021-09-25 14:00:00,2021-09-25 17:00:00
85,648,10,2023-11-11 14:00:00,2023-11-11 16:00:00
86,868,33,2021-03-06 14:00:00,2021-03-06 16:00:00
87,661,43,2024-04-13 13:00:00,2024-04-13 16:00:00
88,105,21,2021-11-27 14:00:00,2021-11-27 16:00:00
89,822,56,2024-07-13 11:00:00,2024-07-13 13:00:00
90,400,49,2021-12-25 14:00:00,2021-12-25 17:00:00
91,108,65,2023-06-10 14:00:00,2023-06-10 17:00:00
92,489,57,2023-07-01 12:00:00,2023-07-01 15:00:00
93,783,26,2022-01-23 11:00:00,2022-01-23 13:00:00
94,138,21,2021-07-17 14:00:00,2021-07-17 16:00:00
95,486,61,2023-08-19 12:00:00,2023-08-19 15:00:00
96,909,61,2023-04-29 12:00:00,2023-04-29 15:00:00
97,754,38,2024-02-24 14:00:00,2024-02-24 16:00:00
98,789,70,2023-09-24 14:00:00,2023-09-24 17:00:00
99,621,50,2022-07-16 11:00:00,2022-07-16 14:00:00
100,644,57,2022-01-29 14:00:00,2022-01-29 16:00:00
101,430,21,2022-11-05 14:00:00,2022-11-05 17:00:00
102,288,35,2023-07-16 13:00:00,2023-07-16 15:00:00
103,268,58,2024-03-23 14:00:00,2024-03-23 17:00:00
104,867,39,2021-07-03 11:00:00,2021-07-03 13:00:00
105,32,61,2022-03-19 14:00:00,2022-03-19 17:00:00
106,939,9,2021-07-31 14:00:00,2021-07-31 17:00:00
107,794,41,2021-02-27 13:00:00,2021-02-27 16:00:00
108,863,64,2024-01-20 13:00:00,2024-01-20 15:00:00
109,738,65,2023-10-07 12:00:00,2023-10-07 15:00:00
110,380,55,2022-03-20 14:00:00,2022-03-20 17:00:00
111,998,25,2023-03-04 13:00:00,2023-03-04 16:00:00
112,466,56,2021-10-31 13:00:00,2021-10-31 15:00:00
113,775,31,2023-11-11 11:00:00,2023-11-11 14:00:00
114,636,2,2024-09-14 11:00:00,2024-09-14 14:00:00
115,699,72,2023-12-16 13:00:00,2023-12-16 15:00:00
116,589,67,2021-07-03 12:00:00,2021-07-03 15:00:00
117,396,64,2022-09-24 13:00:00,2022-09-24 15:00:00
118,579,47,2021-10-23 11:00:00,2021-10-23 13:00:00
119,83,9,2021-05-29 12:00:00,2021-05-29 15:00:00
120,212,30,2023-06-03 14:00:00,2023-06-03 17:00:00
121,376,61,2023-10-07 11:00:00,2023-10-07 13:00:00
122,386,21,2023-10-14 12:00:00,2023-10-14 15:00:00
123,418,12,2021-12-12 13:00:00,2021-12-12 16:00:00
124,624,7,2022-02-05 11:00:00,2022-02-05 13:00:00
125,642,23,2023-10-14 12:00:00,2023-10-14 14:00:00
126,592,43,2023-05-27 14:00:00,2023-05-27 17:00:00
127,305,50,2022-04-30 12:00:00,2022-04-30 15:00:00
128,99,21,2021-09-25 11:00:00,2021-09-25 14:00:00
129,109,12,2023-03-11 12:00:00,2023-03-11 14:00:00
130,640,71,2024-04-13 14:00:00,2024-04-13 17:00:00
131,843,64,2024-08-18 11:00:00,2024-08-18 13:00:00
132,46,6,2021-12-18 11:00:00,2021-12-18 14:00:00
133,420,49,2024-02-17 14:00:00,2024-02-17 17:00:00
134,879,70,2024-08-03 13:00:00,2024-08-03 15:00:00
135,477,2,2023-10-14 13:00:00,2023-10-14 16:00:00
136,111,40,2022-07-17 11:00:00,2022-07-17 14:00:00
137,679,59,2021-02-13 12:00:00,2021-02-13 15:00:00
138,638,60,2021-02-27 13:00:00,2021-02-27 16:00:00
139,545,19,2021-05-08 11:00:00,2021-05-08 14:00:00
140,737,53,2023-06-25 11:00:00,2023-06-25 13:00:00
141,950,69,2022-12-10 14:00:00,2022-12-10 16:00:00
142,214,31,2024-08-10 11:00:00,2024-08-10 13:00:00
143,72,58,2023-09-23 12:00:00,2023-09-23 15:00:00
144,780,45,2024-03-02 11:00:00,2024-03-02 13:00:00
145,912,51,2025-03-01 13:00:00,2025-03-01 16:00:00
146,947,59,2024-08-10 13:00:00,2024-08-10 15:00:00
147,904,42,2022-07-16 11:00:00,2022-07-16 14:00:00
148,876,41,2021-10-09 13:00:00,2021-10-09 16:00:00
149,350,17,2022-10-23 14:00:00,2022-10-23 17:00:00
150,866,13,2024-02-17 13:00:00,2024-02-17 15:00:00
151,696,21,2022-04-16 12:00:00,2022-04-16 14:00:00
152,57,1,2022-10-01 13:00:00,2022-10-01 16:00:00
153,741,14,2022-05-14 14:00:00,2022-05-14 17:00:00
154,447,55,2021-09-04 13:00:00,2021-09-04 16:00:00
155,996,69,2022-04-30 12:00:00,2022-04-30 14:00:00
156,190,18,2022-02-20 12:00:00,2022-02-20 14:00:00
157,669,26,2021-11-27 11:00:00,2021-11-27 14:00:00
158,238,62,2021-03-20 12:00:00,2021-03-20 15:00:00
159,807,25,2023-05-20 11:00:00,2023-05-20 14:00:00
160,576,37,2022-06-25 13:00:00,2022-06-25 16:00:00
161,229,39,2021-01-30 13:00:00,2021-01-30 16:00:00
162,309,43,2022-01-29 13:00:00,2022-01-29 16:00:00
163,602,49,2021-05-09 12:00:00,2021-05-09 15:00:00
164,601,3,2023-03-04 12:00:00,2023-03-04 14:00:00
165,460,6,2024-01-28 12:00:00,2024-01-28 14:00:00
