property_id,neighborhood_id,street_address,city,state,zip_code,property_type,square_feet,bedrooms,bathrooms,year_built
1,3,2175 Brown Forks,New York,NY,11249,single-family home,2619,3,3,1979
2,14,8707 Brenda Prairie,New York,NY,11101,apartment,1582,3,1,1944
3,1,7904 Marshall Plain,New York,NY,11249,co-op,934,0,1,1947
4,20,1896 Luis Roads,Montclair,NJ,07043,apartment,1001,1,2,1919
5,7,6521 James Crescent,New York,NY,11249,apartment,1243,2,1,1981
6,18,6474 Miller Flat,Jersey City,NJ,07302,single-family home,3327,4,5,1943
7,9,6048 Amy Forge,New York,NY,10463,duplex,1534,2,3,2005
8,14,6252 Evans Branch,New York,NY,11375,townhouse,2230,2,2,1957
9,17,420 Callahan Creek,Jersey City,NJ,07310,townhouse,3119,5,3,2023
10,7,3636 Waters Fields,New York,NY,11375,apartment,1667,3,2,1918
11,1,4961 Gay Glen,New York,NY,11375,condo,1767,4,2,1962
12,4,4996 Guzman Park,New York,NY,10038,condo,988,2,1,1924
13,18,6377 Mark Orchard,Jersey City,NJ,07306,condo,1727,3,3,1957
14,11,8860 Bean Hills,New York,NY,10028,single-family home,2503,3,4,1985
15,14,6807 Camacho Gateway,New York,NY,11375,condo,858,1,2,1922
16,15,6696 Hill Points,New York,NY,10021,condo,1797,3,1,1914
17,21,7274 Garrett Creek,Stamford,CT,06902,condo,1315,2,1,1940
18,6,6028 Tony Island,New York,NY,11102,single-family home,2239,2,3,1992
19,8,4530 Simpson Fall,New York,NY,10014,apartment,621,1,2,1925
20,12,7460 Kathleen Spring,New York,NY,10003,co-op,953,0,2,1994
21,23,9793 Davis Wall,Bridgeport,CT,06604,co-op,1740,3,1,1916
22,12,2073 Peterson Spur,New York,NY,11249,duplex,2292,2,2,1982
23,18,9090 James Coves,Jersey City,NJ,07304,single-family home,2826,3,3,1985
24,8,5393 Jason Parkway,New York,NY,11215,condo,1196,0,1,1928
25,15,56 Flores Pines,New York,NY,10021,duplex,2941,5,2,2019
26,18,8860 Garcia Hills,Jersey City,NJ,07305,condo,1344,2,1,2012
27,1,432 Ashley Drives,New York,NY,10012,apartment,955,1,2,1911
28,1,3908 Moore Trafficway,New York,NY,11105,duplex,3298,5,3,1951
29,24,2086 Floyd Walk,West Hartford,CT,06119,co-op,1793,4,1,1963
30,4,1051 Chelsea Estate,New York,NY,10038,apartment,1223,2,2,1967
31,13,9736 Frye Mountains,New York,NY,10011,apartment,1861,3,2,1967
32,6,720 Chan Grove,New York,NY,11201,condo,1827,4,1,2010
33,11,8553 Sarah Mountains,New York,NY,10022,single-family home,3182,5,2,1968
34,3,1006 Wood Inlet,New York,NY,10038,duplex,3141,4,2,2018
35,11,1778 Acosta Village,New York,NY,10038,townhouse,2220,2,2,2001
36,12,1333 Cole Manors,New York,NY,10023,condo,1172,0,1,1987
37,10,4515 Farmer Avenue,New York,NY,11354,apartment,919,0,2,1991
38,23,5337 Brown Lodge,Bridgeport,CT,06605,apartment,2052,4,3,1986
39,17,8292 Brewer Dam,Jersey City,NJ,07310,duplex,3125,4,3,1965
40,2,9043 Wang Brook,New York,NY,11201,townhouse,2800,5,2,2020
41,19,3753 Jason Stravenue,Hoboken,NJ,07030,single-family home,3810,6,5,1953
42,18,6825 Phillips Landing,Jersey City,NJ,07302,apartment,1312,2,2,1950
43,5,4186 Marc Turnpike,New York,NY,10024,townhouse,3146,4,2,1929
44,11,1109 Nguyen Points,New York,NY,10003,apartment,1029,0,1,2016
45,22,6115 Lauren River,Greenwich,CT,06830,apartment,1433,2,1,1981
46,17,2012 Gates Coves,Jersey City,NJ,07306,apartment,1246,2,1,1955
47,11,6939 John Islands,New York,NY,11201,townhouse,2423,2,2,1916
48,24,5129 David Ramp,West Hartford,CT,06117,apartment,1614,3,1,1923
49,9,2545 Crane Cape,New York,NY,10463,single-family home,3214,6,5,1971
50,18,5746 Watts Squares,Jersey City,NJ,07310,apartment,1451,2,1,1957
51,15,3715 Wright Rest,New York,NY,11249,apartment,981,1,3,1964
52,5,9131 Brown Centers,New York,NY,10001,apartment,846,0,1,1987
53,21,4391 Hill Land,Stamford,CT,06901,condo,2246,4,2,1933
54,12,5072 Mclean Creek,New York,NY,10023,single-family home,2393,3,3,1954
55,21,6576 Taylor Summit,Stamford,CT,06901,duplex,2869,5,3,1928
56,11,1513 Mark Trail,New York,NY,11201,apartment,1521,2,1,1977
57,8,7442 Holloway Well,New York,NY,10023,single-family home,2122,3,2,1930
58,19,5324 Brittany Ports,Hoboken,NJ,07030,single-family home,3151,4,4,2023
59,18,825 Anna Mill,Jersey City,NJ,07302,townhouse,2148,3,4,1944
60,10,7967 Mark Plains,New York,NY,11354,apartment,1024,1,2,1966
61,1,8404 Hawkins Viaduct,New York,NY,10011,condo,1157,2,1,1954
62,5,9727 Norris Dam,New York,NY,10038,apartment,1487,3,3,1977
63,5,3622 Monica Squares,New York,NY,10025,townhouse,2440,4,4,1986
64,8,3470 Krueger Lake,New York,NY,11215,townhouse,2670,4,2,1927
65,8,5385 Burgess Forest,New York,NY,10011,single-family home,3244,5,5,1910
66,13,2888 Manuel Forks,New York,NY,10012,townhouse,2572,2,3,1958
67,17,8206 Cox Flat,Jersey City,NJ,07310,apartment,1731,3,2,2016
68,7,1190 Scott Summit,New York,NY,10025,townhouse,2489,4,2,2020
69,12,317 Donald Row,New York,NY,10036,co-op,1384,2,3,1919
70,17,7043 Simmons Valley,Jersey City,NJ,07310,condo,2094,4,2,1961
71,17,4753 Yates Village,Jersey City,NJ,07302,single-family home,2654,3,4,1961
72,8,7548 Robin Passage,New York,NY,10301,duplex,2635,5,3,1956
73,17,3996 Smith Mews,Jersey City,NJ,07306,co-op,1817,4,2,1985
74,18,6494 Susan Well,Jersey City,NJ,07305,townhouse,2454,3,2,2005
75,20,2764 Tyler Overpass,Montclair,NJ,07042,apartment,1427,3,3,1975
76,17,8365 Andrews Roads,Jersey City,NJ,07304,single-family home,3007,4,5,2009
77,1,2429 Jessica Port,New York,NY,10019,co-op,1708,3,3,1923
78,12,2852 Terri Tunnel,New York,NY,11354,condo,906,1,3,1929
79,3,1244 Amanda Union,New York,NY,10013,condo,1128,1,3,2008
80,5,9246 Audrey Mountain,New York,NY,11215,townhouse,2955,4,4,1984
81,22,5305 Karen Trafficway,Greenwich,CT,06831,apartment,1391,3,1,1929
82,7,7255 Meyers Mountain,New York,NY,11375,condo,1367,2,1,1948
83,17,930 Preston Streets,Jersey City,NJ,07305,condo,904,1,2,1974
84,16,626 Debra Cliffs,New York,NY,10002,condo,740,1,1,1957
85,23,1489 Deborah Junction,Bridgeport,CT,06606,townhouse,2740,4,3,1986
86,18,9518 Rose Square,Jersey City,NJ,07310,apartment,794,1,1,2011
87,10,7378 Preston Locks,New York,NY,11249,duplex,2064,2,3,1983
88,17,9922 Smith Village,Jersey City,NJ,07306,townhouse,2336,3,3,1974
89,9,7391 Smith Fork,New York,NY,10011,apartment,850,1,2,2013
90,15,1391 Simmons Green,New York,NY,11101,duplex,2399,4,2,1992
91,2,7182 Breanna Trafficway,New York,NY,10036,duplex,2781,3,2,1977
92,15,5972 Patel Shoal,New York,NY,10024,apartment,1167,0,3,1946
93,5,5553 Kayla Ports,New York,NY,10463,townhouse,2573,4,3,1986
94,13,5492 Barry Stravenue,New York,NY,10003,single-family home,3461,6,2,1952
95,3,4665 Jacob Drive,New York,NY,10021,duplex,2733,4,4,2002
96,17,2473 Kyle Courts,Jersey City,NJ,07305,townhouse,2248,3,2,1920
97,13,5741 Amanda Vista,New York,NY,10022,apartment,1467,2,3,1993
98,4,2122 Kimberly Plains,New York,NY,11354,townhouse,3026,5,2,2000
