transaction_id,client_id,role_type
1,383,seller
1,462,buyer
2,674,landlord
2,757,tenant
3,253,seller
3,543,seller
3,604,buyer
4,376,landlord
4,490,tenant
5,527,seller
5,997,buyer
6,38,seller
6,42,seller
6,386,buyer
7,97,landlord
7,254,tenant
8,292,buyer
8,622,buyer
8,969,seller
9,253,landlord
9,460,tenant
10,315,buyer
10,689,seller
11,132,landlord
11,994,tenant
12,382,buyer
12,765,seller
13,677,tenant
13,869,landlord
13,906,tenant
14,553,buyer
14,592,seller
15,414,buyer
15,801,seller
16,130,landlord
16,792,tenant
17,516,seller
17,850,buyer
18,181,tenant
18,515,landlord
18,538,tenant
19,182,seller
19,457,seller
19,983,buyer
20,38,buyer
20,768,seller
21,304,tenant
21,546,landlord
22,105,buyer
22,874,seller
23,307,buyer
23,691,seller
24,236,landlord
24,332,tenant
25,104,seller
25,707,buyer
26,306,seller
26,666,seller
26,975,buyer
27,275,tenant
27,624,tenant
27,890,landlord
28,155,seller
28,656,seller
28,661,buyer
29,28,landlord
29,717,tenant
30,191,tenant
30,844,landlord
31,166,landlord
31,348,tenant
31,878,landlord
32,221,buyer
32,488,seller
32,588,seller
33,24,tenant
33,239,landlord
34,319,landlord
34,677,tenant
35,42,landlord
35,315,tenant
35,521,landlord
36,224,seller
36,340,seller
36,549,buyer
37,327,seller
37,362,buyer
37,436,seller
38,494,seller
38,917,buyer
39,249,landlord
39,400,tenant
40,501,seller
40,665,buyer
41,669,seller
41,862,buyer
42,338,buyer
42,471,seller
42,579,buyer
43,81,seller
43,633,buyer
44,852,seller
44,968,buyer
45,213,seller
45,749,seller
45,963,buyer
46,527,landlord
46,589,tenant
46,760,tenant
47,101,buyer
47,656,seller
47,942,buyer
48,300,landlord
48,459,tenant
48,542,landlord
49,332,buyer
49,515,seller
49,526,seller
50,77,seller
50,898,buyer
51,40,landlord
51,799,tenant
51,985,landlord
52,12,tenant
52,368,landlord
53,62,landlord
53,281,tenant
53,465,tenant
54,109,buyer
54,389,seller
55,221,buyer
