transaction_id,listing_id,agent_employee_id,transaction_type,transaction_status,transaction_amount,monthly_rent,lease_start_date,lease_end_date,closing_date,commission_amount
1,1,67,sale,pending,,,,,,
2,5,46,rental,closed,,7225.41,2022-06-12,2023-06-12,2022-05-31,3612.7
3,6,66,sale,pending,,,,,,
4,7,30,rental,pending,,,,,,
5,8,26,sale,closed,1440454.0,,,,2021-10-31,28809.08
6,9,25,sale,closed,1542794.0,,,,2023-02-02,46283.82
7,13,51,rental,closed,,6001.3,2024-01-29,2026-01-28,2024-01-11,6001.3
8,15,11,sale,pending,,,,,,
9,16,27,rental,closed,,10072.62,2022-06-10,2024-06-09,2022-05-24,7554.47
10,17,18,sale,pending,,,,,,
11,18,64,rental,closed,,8901.66,2021-10-25,2022-10-25,2021-10-10,8901.66
12,19,55,sale,closed,938312.0,,,,2023-05-02,28149.36
13,21,18,rental,closed,,6199.75,2024-06-11,2026-06-11,2024-05-13,6199.75
14,22,51,sale,pending,,,,,,
15,23,69,sale,closed,2755407.0,,,,2022-03-29,68885.18
16,25,14,rental,pending,,,,,,
17,27,50,sale,pending,,,,,,
18,28,68,rental,pending,,,,,,
19,29,2,sale,pending,,,,,,
20,30,17,sale,closed,955820.0,,,,2023-06-07,28674.6
21,31,27,rental,closed,,17823.0,2024-01-23,2025-01-22,2024-01-02,8911.5
22,34,1,sale,pending,,,,,,
23,35,32,sale,closed,1123714.0,,,,2023-10-30,22474.28
24,36,59,rental,pending,,,,,,
25,37,59,sale,closed,2427800.0,,,,2021-06-21,48556.0
26,38,23,sale,pending,,,,,,
27,39,56,rental,pending,,,,,,
28,41,36,sale,closed,1556094.0,,,,2021-05-28,46682.82
29,42,9,rental,pending,,,,,,
30,44,10,rental,closed,,9557.19,2024-06-05,2026-06-05,2024-05-29,4778.6
31,45,42,rental,pending,,,,,,
32,46,6,sale,closed,1420114.0,,,,2022-04-30,28402.28
33,47,60,rental,pending,,,,,,
34,48,5,rental,closed,,7445.95,2023-08-19,2024-08-18,2023-07-26,5584.46
35,49,42,rental,closed,,12694.61,2021-11-02,2022-11-02,2021-10-14,6347.31
36,50,11,sale,closed,2459150.0,,,,2023-09-13,49183.0
37,51,18,sale,closed,2090611.0,,,,2022-09-19,41812.22
38,52,3,sale,closed,2501036.0,,,,2022-09-25,50020.72
39,53,51,rental,closed,,6703.39,2022-06-16,2023-06-16,2022-06-01,5027.54
40,55,69,sale,pending,,,,,,
41,56,14,sale,closed,1176218.0,,,,2021-09-06,29405.45
42,57,1,sale,closed,1349118.0,,,,2023-03-14,26982.36
43,58,48,sale,closed,1276376.0,,,,2023-05-04,38291.28
44,61,13,sale,pending,,,,,,
45,62,6,sale,pending,,,,,,
46,63,72,rental,closed,,8216.06,2021-12-08,2022-12-08,2021-11-17,4108.03
47,64,51,sale,closed,2596386.0,,,,2024-12-06,77891.58
48,65,46,rental,closed,,8165.8,2021-10-27,2022-10-27,2021-10-20,6124.35
49,66,2,sale,closed,618519.0,,,,2021-05-09,18555.57
50,67,48,sale,closed,363793.0,,,,2023-10-26,10913.79
51,69,22,rental,closed,,4525.33,2022-01-16,2024-01-16,2022-01-07,4525.33
52,70,50,rental,closed,,10290.24,2022-01-24,2024-01-24,2022-01-09,5145.12
53,71,41,rental,closed,,8741.83,2022-04-13,2024-04-12,2022-03-29,8741.83
54,72,58,sale,closed,676502.0,,,,2023-10-07,13530.04
55,74,16,sale,closed,2451655.0,,,,2021-07-22,61291.38
56,76,20,sale,closed,2438883.0,,,,2023-04-17,48777.66
57,77,57,rental,pending,,,,,,
